init,goal,num_moves,finished,moves taken,sequence,alpha,beta
54,31,0,False,[],[54],0.0,0.0
42,23,1,False,"[['4', '1']]","[42, 35]",0.0,0.0
34,13,0,False,[],[34],0.0,0.0
12,65,2,False,"[['0', '1'], ['4', '0']]","[12, 13, 15]",0.0,0.0
55,41,0,False,[],[55],0.0,0.0
16,24,1,False,"[['2', '3']]","[16, 15]",0.0,0.0
25,32,0,False,[],[25],0.0,0.0
36,15,2,False,"[['0', '3'], ['2', '0']]","[36, 24, 25]",0.0,0.0
33,11,0,False,[],[33],0.0,0.0
53,13,0,False,[],[53],0.0,0.0
23,43,0,False,[],[23],0.0,0.0
55,15,0,False,[],[55],0.0,0.0
42,21,0,False,[],[42],0.0,0.0
54,34,0,False,[],[54],0.0,0.0
52,12,0,False,[],[52],0.0,0.0
55,35,0,False,[],[55],0.0,0.0
22,41,0,False,[],[22],0.0,0.0
34,53,0,False,[],[34],0.0,0.0
42,63,1,False,"[['0', '1']]","[42, 43]",0.0,0.0
46,25,1,False,"[['2', '3']]","[46, 45]",0.0,0.0
23,61,0,False,[],[23],0.0,0.0
43,64,0,False,[],[43],0.0,0.0
13,32,1,False,"[['4', '0']]","[13, 15]",0.0,0.0
22,55,1,False,"[['4', '1']]","[22, 15]",0.0,0.0
