init,goal,num_moves,finished,moves taken,sequence,alpha,beta
54,31,13,True,"[['2', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['1', '4'], ['4', '1'], ['0', '4'], ['4', '2'], ['3', '0'], ['2', '3'], ['1', '4'], ['0', '5']]","[54, 55, 56, 55, 62, 55, 62, 55, 53, 54, 46, 45, 32, 31]",0.1,10000.0
42,23,6,True,"[['4', '1'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4']]","[42, 35, 42, 35, 36, 24, 23]",0.1,10000.0
34,13,19,True,"[['2', '0'], ['0', '2'], ['2', '4'], ['4', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '1']]","[34, 35, 34, 33, 35, 36, 35, 42, 35, 36, 24, 23, 25, 23, 24, 25, 12, 25, 12, 13]",0.1,10000.0
12,65,13,True,"[['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '5'], ['5', '1'], ['4', '0'], ['3', '2'], ['2', '3'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0']]","[12, 25, 26, 25, 12, 11, 13, 15, 16, 15, 16, 64, 63, 65]",0.1,10000.0
55,41,27,True,"[['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['1', '4'], ['4', '1'], ['0', '4'], ['4', '2'], ['2', '0'], ['0', '2'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['3', '0'], ['2', '3'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['1', '4'], ['4', '1'], ['1', '4'], ['4', '1'], ['0', '4'], ['1', '5']]","[55, 56, 55, 62, 55, 62, 55, 53, 54, 55, 54, 53, 55, 53, 54, 46, 45, 43, 44, 45, 32, 45, 32, 45, 32, 45, 43, 41]",0.1,10000.0
16,24,6,True,"[['2', '3'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '1'], ['4', '2']]","[16, 15, 16, 15, 22, 23, 24]",0.1,10000.0
25,32,69,True,"[['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['0', '2'], ['2', '4'], ['1', '0'], ['4', '1'], ['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '5'], ['5', '0'], ['0', '1'], ['1', '0'], ['0', '5'], ['5', '0'], ['0', '1'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['0', '5'], ['5', '1'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['0', '2'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '5'], ['5', '1'], ['4', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4']]","[25, 26, 25, 12, 25, 24, 23, 22, 15, 22, 15, 16, 15, 22, 21, 22, 23, 22, 21, 22, 23, 25, 23, 24, 25, 12, 11, 13, 15, 13, 14, 15, 22, 15, 16, 15, 14, 13, 15, 13, 14, 15, 22, 15, 16, 64, 63, 65, 66, 65, 52, 65, 66, 65, 52, 51, 53, 55, 56, 55, 62, 55, 56, 44, 43, 45, 43, 44, 45, 32]",0.1,10000.0
36,15,8,True,"[['2', '3'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['1', '0'], ['4', '1']]","[36, 35, 42, 35, 36, 24, 23, 22, 15]",0.1,10000.0
33,11,19,True,"[['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['0', '5']]","[33, 35, 33, 34, 35, 36, 35, 42, 35, 42, 35, 36, 24, 23, 25, 23, 24, 25, 12, 11]",0.1,10000.0
53,13,26,True,"[['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['0', '1'], ['4', '2'], ['2', '0'], ['0', '2'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['3', '0'], ['2', '3'], ['3', '2'], ['2', '3'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['3', '2'], ['2', '3'], ['3', '2'], ['0', '3'], ['2', '4']]","[53, 55, 53, 54, 55, 62, 63, 64, 65, 64, 63, 65, 63, 64, 16, 15, 16, 15, 16, 64, 63, 65, 66, 65, 66, 14, 13]",0.1,10000.0
23,43,12,True,"[['4', '0'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '1']]","[23, 25, 26, 34, 33, 35, 33, 34, 35, 42, 35, 42, 43]",0.1,10000.0
55,15,14,True,"[['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '5'], ['5', '1'], ['4', '0'], ['3', '2'], ['2', '3'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0']]","[55, 62, 55, 56, 55, 62, 61, 63, 65, 66, 65, 66, 14, 13, 15]",0.1,10000.0
42,21,28,True,"[['4', '1'], ['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['0', '4'], ['4', '2'], ['2', '0'], ['0', '2'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['3', '0'], ['2', '3'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['1', '4'], ['4', '1'], ['1', '4'], ['4', '1'], ['0', '4'], ['1', '5']]","[42, 35, 42, 35, 36, 35, 42, 35, 33, 34, 35, 34, 33, 35, 33, 34, 26, 25, 23, 24, 25, 12, 25, 12, 25, 12, 25, 23, 21]",0.1,10000.0
54,34,28,True,"[['2', '0'], ['0', '2'], ['2', '4'], ['4', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['0', '2'], ['2', '4'], ['1', '0'], ['4', '1'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '1'], ['1', '5'], ['5', '0'], ['4', '1'], ['0', '4'], ['4', '2']]","[54, 55, 54, 53, 55, 56, 55, 62, 55, 56, 44, 43, 45, 43, 44, 45, 44, 43, 42, 35, 42, 35, 42, 43, 41, 42, 35, 33, 34]",0.1,10000.0
52,12,60,True,"[['4', '1'], ['1', '4'], ['0', '5'], ['5', '1'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '5'], ['5', '0'], ['0', '1'], ['1', '0'], ['0', '5'], ['5', '0'], ['0', '1'], ['1', '0'], ['4', '1'], ['0', '2'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '5'], ['5', '1'], ['4', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4']]","[52, 65, 52, 51, 53, 55, 53, 54, 55, 62, 55, 56, 55, 62, 55, 56, 55, 62, 61, 62, 63, 62, 61, 62, 63, 62, 55, 54, 53, 55, 53, 54, 55, 62, 55, 56, 44, 43, 45, 46, 45, 32, 45, 46, 45, 32, 31, 33, 35, 36, 35, 42, 35, 36, 24, 23, 25, 23, 24, 25, 12]",0.1,10000.0
55,35,12,True,"[['1', '4'], ['4', '1'], ['3', '2'], ['2', '3'], ['0', '2'], ['2', '4'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '4'], ['1', '0'], ['4', '1']]","[55, 62, 55, 56, 55, 54, 53, 55, 56, 44, 43, 42, 35]",0.1,10000.0
