init,goal,num_moves,finished,moves taken,sequence,alpha,beta
54,31,4,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['0', '5']]","[54, 46, 45, 32, 31]",5.0,0.45
42,23,4,True,"[['4', '1'], ['3', '2'], ['0', '3'], ['2', '4']]","[42, 35, 36, 24, 23]",5.0,0.45
34,13,4,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['0', '1']]","[34, 26, 25, 12, 13]",5.0,0.45
12,65,4,True,"[['0', '1'], ['4', '2'], ['3', '0'], ['2', '3']]","[12, 13, 14, 66, 65]",5.0,0.45
55,41,4,True,"[['3', '2'], ['0', '3'], ['2', '4'], ['1', '5']]","[55, 56, 44, 43, 41]",5.0,0.45
16,24,4,True,"[['2', '3'], ['1', '4'], ['0', '1'], ['4', '2']]","[16, 15, 22, 23, 24]",5.0,0.45
25,32,4,True,"[['3', '2'], ['0', '3'], ['2', '4'], ['1', '0']]","[25, 26, 34, 33, 32]",5.0,0.45
36,15,5,True,"[['0', '3'], ['2', '4'], ['1', '5'], ['5', '0'], ['4', '1']]","[36, 24, 23, 21, 22, 15]",5.0,0.45
33,11,6,True,"[['4', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['1', '4'], ['0', '5']]","[33, 35, 36, 24, 25, 12, 11]",5.0,0.45
53,13,5,True,"[['1', '0'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4']]","[53, 52, 65, 66, 14, 13]",5.0,0.45
23,43,19,True,"[['1', '0'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '1'], ['1', '5'], ['5', '1'], ['4', '0'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['1', '5'], ['5', '1'], ['1', '0'], ['4', '1'], ['0', '4']]","[23, 22, 15, 16, 15, 22, 23, 21, 23, 25, 12, 25, 26, 34, 33, 31, 33, 32, 45, 43]",5.0,0.45
55,15,7,True,"[['1', '4'], ['0', '5'], ['5', '1'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '0']]","[55, 62, 61, 63, 65, 66, 14, 15]",5.0,0.45
42,21,5,True,"[['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['1', '5']]","[42, 35, 36, 24, 23, 21]",5.0,0.45
54,34,5,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['0', '1'], ['4', '2']]","[54, 46, 45, 32, 33, 34]",5.0,0.45
52,12,51,True,"[['0', '1'], ['4', '2'], ['3', '0'], ['0', '3'], ['2', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '5'], ['5', '0'], ['0', '1'], ['1', '0'], ['0', '5'], ['5', '0'], ['0', '1'], ['1', '0'], ['4', '1'], ['3', '2'], ['0', '3'], ['3', '0'], ['2', '3'], ['1', '4'], ['4', '1'], ['0', '2'], ['3', '0'], ['2', '3'], ['0', '2'], ['3', '0'], ['0', '3'], ['2', '0'], ['0', '4'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['0', '4'], ['4', '0'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '5'], ['5', '0'], ['0', '1'], ['4', '2'], ['3', '0'], ['0', '3'], ['2', '0'], ['3', '2'], ['0', '3'], ['2', '4'], ['1', '0']]","[52, 53, 54, 46, 54, 55, 56, 55, 62, 61, 62, 63, 62, 61, 62, 63, 62, 55, 56, 44, 56, 55, 62, 55, 54, 46, 45, 44, 56, 44, 45, 43, 45, 46, 54, 55, 53, 55, 56, 55, 62, 61, 62, 63, 64, 16, 64, 65, 66, 14, 13, 12]",5.0,0.45
55,35,8,True,"[['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['1', '5'], ['5', '0'], ['4', '1']]","[55, 62, 55, 56, 44, 43, 41, 42, 35]",5.0,0.45
