init,goal,num_moves,finished,moves taken,sequence,alpha,beta
54,31,6,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '5']]","[54, 46, 45, 32, 45, 32, 31]",1000.0,10.0
42,23,8,True,"[['4', '1'], ['3', '2'], ['2', '3'], ['3', '2'], ['0', '3'], ['2', '0'], ['0', '2'], ['2', '4']]","[42, 35, 36, 35, 36, 24, 25, 24, 23]",1000.0,10.0
34,13,6,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '1']]","[34, 26, 25, 12, 25, 12, 13]",1000.0,10.0
12,65,4,True,"[['0', '1'], ['4', '2'], ['3', '0'], ['2', '3']]","[12, 13, 14, 66, 65]",1000.0,10.0
55,41,13,True,"[['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['1', '4'], ['4', '1'], ['0', '4'], ['1', '5']]","[55, 56, 44, 43, 45, 43, 44, 45, 32, 45, 32, 45, 43, 41]",1000.0,10.0
16,24,6,True,"[['2', '3'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '1'], ['4', '2']]","[16, 15, 22, 15, 22, 23, 24]",1000.0,10.0
25,32,12,True,"[['3', '2'], ['0', '3'], ['2', '4'], ['4', '0'], ['0', '4'], ['4', '2'], ['2', '0'], ['1', '4'], ['4', '1'], ['0', '2'], ['2', '4'], ['1', '0']]","[25, 26, 34, 33, 35, 33, 34, 35, 42, 35, 34, 33, 32]",1000.0,10.0
36,15,5,True,"[['0', '3'], ['2', '4'], ['1', '5'], ['5', '0'], ['4', '1']]","[36, 24, 23, 21, 22, 15]",1000.0,10.0
33,11,8,True,"[['4', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '5']]","[33, 35, 36, 24, 25, 12, 25, 12, 11]",1000.0,10.0
53,13,7,True,"[['1', '0'], ['4', '1'], ['3', '2'], ['2', '3'], ['3', '2'], ['0', '3'], ['2', '4']]","[53, 52, 65, 66, 65, 66, 14, 13]",1000.0,10.0
23,43,25,True,"[['1', '0'], ['0', '5'], ['5', '1'], ['1', '5'], ['5', '0'], ['0', '1'], ['1', '5'], ['5', '1'], ['1', '0'], ['4', '1'], ['3', '2'], ['0', '3'], ['3', '0'], ['2', '3'], ['1', '4'], ['0', '5'], ['5', '0'], ['0', '1'], ['4', '2'], ['3', '0'], ['2', '3'], ['1', '4'], ['4', '1'], ['1', '4'], ['0', '1']]","[23, 22, 21, 23, 21, 22, 23, 21, 23, 22, 15, 16, 64, 16, 15, 22, 21, 22, 23, 24, 36, 35, 42, 35, 42, 43]",1000.0,10.0
55,15,7,True,"[['1', '4'], ['0', '5'], ['5', '1'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '0']]","[55, 62, 61, 63, 65, 66, 14, 15]",1000.0,10.0
