TOL-ID,avg_nodes_examined
TOL-ID-01,1
TOL-ID-02,2
TOL-ID-03,2
TOL-ID-04,3
TOL-ID-05,1
TOL-ID-06,2
TOL-ID-07,2
TOL-ID-08,3
TOL-ID-09,1
TOL-ID-10,2
TOL-ID-11,2
TOL-ID-12,3
TOL-ID-13,1
TOL-ID-14,2
TOL-ID-15,2
TOL-ID-16,3
TOL-ID-17,1
TOL-ID-18,2
TOL-ID-19,2
TOL-ID-20,3
TOL-ID-21,1
TOL-ID-22,2
TOL-ID-23,2
TOL-ID-24,3
