TOL-ID,avg_nodes_examined
TOL-ID-01,18.5
TOL-ID-02,17.5
TOL-ID-03,18.0
TOL-ID-04,16.5
TOL-ID-05,18.0
TOL-ID-06,19.0
TOL-ID-07,17.5
TOL-ID-08,18.0
TOL-ID-09,22.5
TOL-ID-10,20.5
TOL-ID-11,22.0
TOL-ID-12,22.5
TOL-ID-13,22.0
TOL-ID-14,23.5
TOL-ID-15,21.5
TOL-ID-16,23.0
TOL-ID-17,26.5
TOL-ID-18,26.5
TOL-ID-19,26.0
TOL-ID-20,27.5
TOL-ID-21,27.0
TOL-ID-22,28.0
TOL-ID-23,26.5
TOL-ID-24,28.0
