TOL-ID,avg_nodes_examined
TOL-ID-01,4
TOL-ID-02,4
TOL-ID-03,4
TOL-ID-04,4
TOL-ID-05,4
TOL-ID-06,4
TOL-ID-07,4
TOL-ID-08,4
TOL-ID-09,5
TOL-ID-10,5
TOL-ID-11,5
TOL-ID-12,5
TOL-ID-13,5
TOL-ID-14,5
TOL-ID-15,5
TOL-ID-16,5
TOL-ID-17,6
TOL-ID-18,6
TOL-ID-19,6
TOL-ID-20,6
TOL-ID-21,6
TOL-ID-22,6
TOL-ID-23,6
TOL-ID-24,6
